m,n,p,lambda,R
4101,6,0.9,0.0022624807178568238,0.0005010359059281704
4151,6,0.9,0.0022624807178568238,0.0005071446099750879
4201,6,0.9,0.0022624807178568238,0.0005132533140220054
4251,6,0.9,0.0022624807178568238,0.0005193620180689229
4301,6,0.9,0.0022624807178568238,0.0005254707221158404
4351,6,0.9,0.0022624807178568238,0.0005315794261627579
4401,6,0.9,0.0022624807178568238,0.0005376881302096752
4451,6,0.9,0.0022624807178568238,0.0005437968342565927
4501,6,0.9,0.0022624807178568238,0.0005499055383035102
4551,6,0.9,0.0022624807178568238,0.0005560142423504277
4601,6,0.9,0.0022624807178568238,0.0005621229463973451
4651,6,0.9,0.0022624807178568238,0.0005682316504442626
4701,6,0.9,0.0022624807178568238,0.00057434035449118
4751,6,0.9,0.0022624807178568238,0.0005804490585380975
4801,6,0.9,0.0022624807178568238,0.000586557762585015
4851,6,0.9,0.0022624807178568238,0.0005926664666319325
4901,6,0.9,0.0022624807178568238,0.0005987751706788499
4951,6,0.9,0.0022624807178568238,0.0006048838747257674
1,1,0.9,0.002392822825282625,0.002392822825282625
3901,6,0.9,0.002392822825282625,0.000504058203495289
3951,6,0.9,0.002392822825282625,0.0005105188315841803
4001,6,0.9,0.002392822825282625,0.0005169794596730714
4051,6,0.9,0.002392822825282625,0.0005234400877619626
4101,6,0.9,0.002392822825282625,0.0005299007158508537
4151,6,0.9,0.002392822825282625,0.0005363613439397448
4201,6,0.9,0.002392822825282625,0.0005428219720286362
4251,6,0.9,0.002392822825282625,0.0005492826001175272
4301,6,0.9,0.002392822825282625,0.0005557432282064184
4351,6,0.9,0.002392822825282625,0.0005622038562953096
4401,6,0.9,0.002392822825282625,0.0005686644843842008
4451,6,0.9,0.002392822825282625,0.0005751251124730919
4501,6,0.9,0.002392822825282625,0.0005815857405619832
4551,6,0.9,0.002392822825282625,0.0005880463686508742
4601,6,0.9,0.002392822825282625,0.0005945069967397654
4651,6,0.9,0.002392822825282625,0.0006009676248286566
4701,6,0.9,0.002392822825282625,0.0006074282529175478
4751,6,0.9,0.002392822825282625,0.000613888881006439
4801,6,0.9,0.002392822825282625,0.00062034950909533
4851,6,0.9,0.002392822825282625,0.0006268101371842213
4901,6,0.9,0.002392822825282625,0.0006332707652731125
4951,6,0.9,0.002392822825282625,0.0006397313933620036
1,1,0.9,0.002530673975695674,0.0025306739756956746
3701,6,0.9,0.002530673975695674,0.0005057658225045053
3751,6,0.9,0.002530673975695674,0.0005125986490717101
3801,6,0.9,0.002530673975695674,0.0005194314756389151
3851,6,0.9,0.002530673975695674,0.0005262643022061199
3901,6,0.9,0.002530673975695674,0.0005330971287733249
3951,6,0.9,0.002530673975695674,0.0005399299553405296
4001,6,0.9,0.002530673975695674,0.0005467627819077346
4051,6,0.9,0.002530673975695674,0.0005535956084749394
4101,6,0.9,0.002530673975695674,0.0005604284350421443
4151,6,0.9,0.002530673975695674,0.0005672612616093492
4201,6,0.9,0.002530673975695674,0.0005740940881765541
4251,6,0.9,0.002530673975695674,0.000580926914743759
4301,6,0.9,0.002530673975695674,0.0005877597413109639
4351,6,0.9,0.002530673975695674,0.0005945925678781687
4401,6,0.9,0.002530673975695674,0.0006014253944453737
4451,6,0.9,0.002530673975695674,0.0006082582210125784
4501,6,0.9,0.002530673975695674,0.0006150910475797834
4551,6,0.9,0.002530673975695674,0.0006219238741469882
4601,6,0.9,0.002530673975695674,0.0006287567007141932
4651,6,0.9,0.002530673975695674,0.000635589527281398
4701,6,0.9,0.002530673975695674,0.0006424223538486029
4751,6,0.9,0.002530673975695674,0.0006492551804158077
4801,6,0.9,0.002530673975695674,0.0006560880069830127
4851,6,0.9,0.002530673975695674,0.0006629208335502176
4901,6,0.9,0.002530673975695674,0.0006697536601174223
4951,6,0.9,0.002530673975695674,0.0006765864866846272
1,1,0.9,0.0026764667670314923,0.0026764667670314923
3501,6,0.9,0.0026764667670314923,0.0005059972541716254
3551,6,0.9,0.0026764667670314923,0.000513223721669078
